player,sleeper_id,pos,team,bye,proj_pts,vorp,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy
Dontayvion Wicks,9486,WR,PHI,10,92.1,-25.9,5,false,94,233,199.45,170.5,-62.5,blend,,14.0,false,,,,0.31,0.202,1.46,1,true
Cam Ward,12522,QB,TEN,9,211.2,-26.0,5,false,21,234,152.29,171.2,-62.8,blend,,16.0,false,,,,0.0,0.0,0.0,8,true
Calvin Ridley,4981,WR,TEN,9,92.1,-26.0,5,false,95,235,204.36,143.3,-91.7,blend,,12.7,false,,,,0.423,0.222,1.87,1,true
Cade Otton,8111,TE,TBB,10,103.1,-26.7,2,false,23,236,242.56,,,blend,,14.0,false,,,,0.342,0.135,0.95,3,true
Jordan James,12467,RB,SFO,8,94.6,-26.8,6,false,59,237,264.7,144.2,-92.8,market_implied,,16.0,true,Christian McCaffrey,12.0,,,,,,
Xavier Legette,11626,WR,CAR,5,91.1,-26.9,5,false,97,238,259.56,179.3,-58.7,blend,compromised,14.0,false,,,,0.352,0.17,0.96,3,true
Kaelon Black,13414,RB,SFO,8,93.8,-27.5,6,false,60,239,268.09,158.4,-80.6,market_implied,,16.0,true,Christian McCaffrey,12.0,,,,,,
Ryan Flournoy,11783,WR,DAL,14,90.4,-27.7,5,false,99,240,182.63,163.7,-76.3,blend,,12.0,false,,,,0.276,0.189,1.6,5,true
Kayshon Boutte,9504,WR,NEP,11,90.2,-27.9,5,false,101,241,195.4,169.3,-71.7,blend,,12.0,false,,,,0.33,0.126,1.5,2,true
New York Giants,NYG,DEF,NYG,8,85.0,-28.0,2,false,26,242,277.54,169.3,-72.7,market_implied,,16.0,false,,,,,,,,
Jordan Mason,8408,RB,MIN,6,92.4,-29.0,6,false,61,243,122.48,122.1,-120.9,blend,,12.0,false,Aaron Jones Sr.,12.333333333333334,,0.042,0.064,0.2,9,true
Carson Beck,13272,QB,ARI,14,208.1,-29.1,5,false,22,244,325.69,,,market_implied,,16.0,true,,,,,,,,
Brenton Strange,9480,TE,JAC,7,100.1,-29.7,2,false,24,245,156.63,164.1,-80.9,blend,,12.0,false,,,,0.32,0.169,1.52,3,true
Eli Stowers,13349,TE,PHI,10,99.9,-29.9,2,false,25,246,273.2,,,market_implied,,16.0,true,,,,,,,,
Joey Slye,6528,K,TEN,9,102.0,-30.0,5,false,33,247,314.33,148.0,-99.0,market_implied,,16.0,false,,,,,,,,
Tre' Harris,12509,WR,LAC,7,87.9,-30.2,5,false,107,248,180.35,167.6,-80.4,blend,,15.0,false,,,,0.199,0.123,0.93,1,true
Cooper Kupp,4039,WR,SEA,11,87.7,-30.4,5,false,110,249,222.0,151.7,-97.3,blend,,12.3,false,,,,0.341,0.175,1.48,5,true
Darren Waller,2505,TE,CAR,5,99.2,-30.5,2,false,26,250,297.56,,,blend,,12.0,false,,,,0.421,0.259,2.16,6,true
Trey Benson,11589,RB,ARI,14,90.6,-30.7,6,false,62,251,261.14,,,blend,,12.0,false,Jeremiyah Love,16.0,compromised,0.175,0.187,0.75,2,true
Isiah Pacheco,8205,RB,DET,6,90.6,-30.7,6,false,63,252,151.56,155.7,-96.3,blend,compromised,12.0,false,Jahmyr Gibbs,15.333333333333334,,0.098,0.093,0.36,9,true
Cade Klubnik,13303,QB,NYJ,13,206.4,-30.8,5,false,23,253,338.4,,,market_implied,,16.0,true,,,,,,,,
Ty Simpson,13275,QB,LAR,11,205.9,-31.3,5,false,24,254,342.19,,,market_implied,,16.0,true,,,,,,,,
Bryce Young,9228,QB,CAR,5,205.4,-31.8,5,false,25,255,165.87,172.7,-82.3,blend,,14.3,false,,,,0.0,0.0,0.0,5,true
Adam Randall,13302,RB,BAL,13,89.1,-32.3,6,false,64,256,291.46,,,market_implied,,16.0,true,Derrick Henry,16.0,,,,,,
Audric Estime,11579,RB,NOS,8,88.9,-32.4,6,false,65,257,304.84,,,blend,,12.0,false,Travis Etienne Jr.,15.333333333333334,,0.109,0.114,0.9,5,true
Samaje Perine,4147,RB,CIN,6,88.6,-32.7,6,false,66,258,270.44,170.2,-87.8,blend,,15.0,false,Chase Brown,13.333333333333334,,0.06,0.092,0.38,8,true
Rashod Bateman,7571,WR,BAL,13,84.3,-33.7,5,false,115,259,220.8,145.9,-113.1,blend,compromised,13.7,false,,,,0.301,0.131,0.77,4,true
Colby Parkinson,6865,TE,LAR,11,96.1,-33.7,2,false,27,260,262.81,,,blend,,13.3,false,,,,0.206,0.153,1.11,10,true
Braelon Allen,11576,RB,NYJ,13,87.2,-34.2,6,false,69,261,182.34,156.6,-104.4,blend,,12.0,false,Breece Hall,15.333333333333334,compromised,0.048,,,6,true
Jalen McMillan,11618,WR,TBB,10,83.5,-34.6,5,false,116,262,168.98,135.6,-126.4,blend,compromised,12.0,false,,,,0.262,0.18,2.13,0,true
Joe Burrow,6770,QB,CIN,6,201.9,-35.3,5,false,26,263,45.77,56.6,-206.4,blend,,12.0,false,,,,0.0,0.0,0.0,1,true
Oscar Delp,13319,TE,NOS,8,94.3,-35.5,2,false,28,264,303.28,,,market_implied,,16.0,true,,,,,,,,
Justice Hill,5995,RB,BAL,13,85.7,-35.6,6,false,73,265,237.68,168.2,-96.8,blend,,12.3,false,Derrick Henry,16.0,,0.162,0.234,1.47,1,true
Pat Bryant,12492,WR,DEN,10,81.7,-36.3,5,false,123,266,202.14,156.3,-109.7,blend,,12.0,false,,,,0.301,0.165,1.27,4,true
Sam Darnold,4943,QB,SEA,11,200.6,-36.5,5,false,27,267,141.92,141.3,-125.7,blend,,13.7,false,,,,0.0,0.0,0.0,4,true
