sleeper_id,name,pos,adp,model,sleeper,sleeper_as_of,espn,espn_as_of,sheet,sheet_as_of,mean,mean_n_sources,pair,league,model_built,actual
4035,Alvin Kamara,RB,125.8,53.974999999999994,53.0,2026-09-02,97.73162379800002,2026-09-03,101.07000000000001,2026-09-01,75.36581189900001,2,2026,keefamania,2026-09-02,
4137,James Conner,RB,125.1,48.131249999999994,51.7,2026-09-02,,,40.5,2026-09-01,51.7,1,2026,keefamania,2026-09-02,
12495,Ollie Gordon II,RB,52.0,47.91875,21.7,2026-09-02,31.755876210500002,2026-09-03,23.6,2026-09-01,26.72793810525,2,2026,keefamania,2026-09-02,
12484,Jayden Higgins,WR,,0.0,,,,,,,,,2026,keefamania,2026-09-02,
5850,Josh Jacobs,RB,37.2,0.0,78.2,2026-09-02,152.003945113,2026-09-03,133.99,2026-09-01,115.10197255650002,2,2026,keefamania,2026-09-02,
9753,Zach Charbonnet,RB,130.3,0.0,61.7,2026-09-02,123.39028630599998,2026-09-03,107.60999999999999,2026-09-01,92.545143153,2,2026,keefamania,2026-09-02,
11562,Spencer Rattler,QB,,34.10625,12.68,2026-09-02,9.359211267000001,2026-09-03,10.078,2026-09-01,11.019605633500001,2,2026,keefamania,2026-09-02,
7585,Davis Mills,QB,,29.325000000000003,12.04,2026-09-02,8.7975302082,2026-09-03,10.832000000000003,2026-09-01,10.4187651041,2,2026,keefamania,2026-09-02,
12486,Dillon Gabriel,QB,,0.0,11.860000000000001,2026-09-02,,,,,11.860000000000001,1,2026,keefamania,2026-09-02,
3161,Carson Wentz,QB,,0.0,12.44,2026-09-02,,,,,12.44,1,2026,keefamania,2026-09-02,
