sleeper_id,name,pos,adp,model,sleeper,sleeper_as_of,espn,espn_as_of,sheet,sheet_as_of,mean,mean_n_sources,pair,league,model_built,actual
4040,JuJu Smith-Schuster,WR,,81.6,4.1,2026-09-02,,,,,4.1,1,2026,omnibeta,2026-09-02,
8161,Malik Willis,QB,161.3,233.325,270.12,2026-09-02,248.22063487000003,2026-09-03,271.53800000000007,2026-09-01,259.170317435,2,2026,omnibeta,2026-09-02,
8132,Tyler Allgeier,RB,155.7,86.0625,77.2,2026-09-02,92.22114735600002,2026-09-03,95.23000000000002,2026-09-01,84.710573678,2,2026,omnibeta,2026-09-02,
8205,Isiah Pacheco,RB,152.3,78.30625,53.6,2026-09-02,71.06048673699999,2026-09-03,113.31999999999998,2026-09-01,62.33024336850001,2,2026,omnibeta,2026-09-02,
11647,Kimani Vidal,RB,162.1,74.48124999999999,60.0,2026-09-02,36.272213533000006,2026-09-03,59.36999999999999,2026-09-01,48.136106766500006,2,2026,omnibeta,2026-09-02,
7528,Najee Harris,RB,167.0,72.67500000000001,26.3,2026-09-02,78.199561857,2026-09-03,74.23,2026-09-01,52.2497809285,2,2026,omnibeta,2026-09-02,
11575,Ray Davis,RB,166.8,60.1375,65.1,2026-09-02,35.943356179,2026-09-03,27.869999999999997,2026-09-01,50.5216780895,2,2026,omnibeta,2026-09-02,
4035,Alvin Kamara,RB,151.3,60.1375,63.0,2026-09-02,113.10066705800001,2026-09-03,117.02,2026-09-01,88.050333529,2,2026,omnibeta,2026-09-02,
4033,David Njoku,TE,153.0,74.90625,58.0,2026-09-02,104.13297510800001,2026-09-03,107.52,2026-09-01,81.06648755399999,2,2026,omnibeta,2026-09-02,
11199,Emari Demercado,RB,141.5,56.84375,36.3,2026-09-02,24.505314200000004,2026-09-03,,,30.402657100000003,2,2026,omnibeta,2026-09-02,
4137,James Conner,RB,172.3,53.55,57.2,2026-09-02,,,47.5,2026-09-01,57.2,1,2026,omnibeta,2026-09-02,
12487,Terrance Ferguson,TE,164.7,62.2625,100.30000000000001,2026-09-02,135.57301678999997,2026-09-03,122.47999999999999,2026-09-01,117.936508395,2,2026,omnibeta,2026-09-02,
12484,Jayden Higgins,WR,,0.0,,,,,,,,,2026,omnibeta,2026-09-02,
5850,Josh Jacobs,RB,31.2,0.0,85.2,2026-09-02,163.83852135799998,2026-09-03,144.29000000000002,2026-09-01,124.51926067900001,2,2026,omnibeta,2026-09-02,
9753,Zach Charbonnet,RB,132.3,0.0,67.2,2026-09-02,133.546895026,2026-09-03,116.80999999999997,2026-09-01,100.373447513,2,2026,omnibeta,2026-09-02,
10214,Davis Allen,TE,,0.0,5.9,2026-09-02,19.498131591,2026-09-03,44.019999999999996,2026-09-01,12.699065795500001,2,2026,omnibeta,2026-09-02,
11562,Spencer Rattler,QB,,34.10625,12.68,2026-09-02,9.359211267000001,2026-09-03,10.078,2026-09-01,11.019605633500001,2,2026,omnibeta,2026-09-02,
7585,Davis Mills,QB,,29.325000000000003,12.04,2026-09-02,8.7975302082,2026-09-03,10.832000000000003,2026-09-01,10.4187651041,2,2026,omnibeta,2026-09-02,
3161,Carson Wentz,QB,,0.0,12.44,2026-09-02,,,,,12.44,1,2026,omnibeta,2026-09-02,
12486,Dillon Gabriel,QB,,0.0,11.860000000000001,2026-09-02,,,,,11.860000000000001,1,2026,omnibeta,2026-09-02,
