player,sleeper_id,pos,team,bye,proj_pts,vorp,vorp_flex,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy,upside_flag,upside_why,alpha_used,proj_as_of,n_sources,proj_sd,proj_hi,proj_lo,proj_band,non_starter,contingent_of,backs_up_pos,starter_fragility,starter_fragility_label,yahoo_rank
T.J. Hockenson,5844,TE,MIN,6,102.5,-24.9,-69.64705882352943,2,false,20,141,190.29,128.3,-12.7,fantasypros_sheet,,12.3,false,,,,0.311,0.157,1.04,3,true,false,,0.0,2026-09-01,1,0.0,102.5,102.5,12.0,false,,,,"",212.0
Chuba Hubbard,7594,RB,CAR,5,147.1,-25.1,-25.091764705882355,5,false,31,142,98.94,90.2,-51.8,fantasypros_sheet,compromised,14.7,false,,,,0.108,0.154,0.88,12,true,true,RB receiving profile,0.0,2026-09-01,1,0.0,147.1,147.1,16.4,false,,,,"",89.0
Daniel Jones,5870,QB,IND,13,258.0,-25.7,-25.73176470588237,2,false,20,143,147.99,126.7,-16.3,fantasypros_sheet,,12.0,false,,,,0.0,0.0,0.0,10,true,false,,0.0,2026-09-01,1,0.0,258.0,258.0,32.0,false,,,,"",163.0
Pat Freiermuth,7600,TE,PIT,9,101.5,-25.9,-70.66352941176471,2,false,21,144,238.46,124.0,-20.0,fantasypros_sheet,,13.3,false,,,,0.257,0.17,1.53,4,true,false,,0.0,2026-09-01,1,0.0,101.5,101.5,11.8,false,,,,"",282.0
Makai Lemon,13294,WR,PHI,10,137.7,-26.2,-34.50578823529412,9,false,40,145,109.7,115.8,-29.2,fantasypros_sheet,,16.0,true,,,,,,,,,true,rookie w/ market-backed capital,0.0,2026-09-01,1,0.0,137.7,137.7,3.5,false,,DeVonta Smith,0.31,low,105.0
Jayden Reed,10222,WR,GBP,11,137.0,-26.9,-35.20941176470592,9,false,41,146,104.21,117.4,-28.6,fantasypros_sheet,,12.0,false,,,,0.344,0.233,2.2,0,true,false,,0.0,2026-09-01,1,0.0,137.0,137.0,12.0,false,,Christian Watson,0.31,low,96.0
Denzel Boston,13346,WR,CLE,11,136.6,-27.3,-35.56969411764703,9,false,42,147,150.61,131.5,-15.5,fantasypros_sheet,,16.0,true,,,,,,,,,false,,0.0,2026-09-01,1,0.0,136.6,136.6,8.6,false,,KC Concepcion,0.3,low,143.0
Greg Dulcich,8172,TE,MIA,6,100.1,-27.3,-72.07529411764708,2,false,22,148,208.5,131.4,-16.6,fantasypros_sheet,,12.0,false,,,,0.296,0.238,2.42,4,true,false,,0.0,2026-09-01,1,0.0,100.1,100.1,11.8,false,,,,"",191.0
Jordan Love,6804,QB,GBP,11,256.3,-27.4,-27.393882352941205,2,false,21,149,118.95,123.0,-26.0,fantasypros_sheet,,14.7,false,,,,0.0,0.0,0.0,3,true,false,,0.0,2026-09-01,1,0.0,256.3,256.3,13.9,false,,,,"",122.0
Jakobi Meyers,5947,WR,JAC,7,136.2,-27.6,-35.94352941176473,9,false,43,150,104.5,130.1,-19.9,fantasypros_sheet,,14.7,false,,,,0.541,0.21,1.59,7,true,false,,0.0,2026-09-01,1,0.0,136.2,136.2,4.4,false,,Parker Washington,0.32,low,126.0
