sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_gt,lines_gt
6943,Gabe Davis,WR,164.2,137.6845519194938,131.98268311221486,133.12305687367066,136.187,43.9,10,2023->2024,133.12305687367066,136.187
11589,Trey Benson,RB,102.2,,150.5480122894736,150.5480122894736,70.941,44.0,12,2023->2024,133.9031644608976,63.09764071647413
6819,Michael Pittman Jr.,WR,46.2,192.7199969123705,174.90728839807673,178.4698301009355,175.593,131.3,16,2023->2024,190.37224113603233,187.30355107579666
10222,Jayden Reed,WR,63.1,167.92270733088807,164.3550439532433,165.0685766287723,169.76199999999997,169.5,17,2023->2024,170.2740465446211,175.11547794172648
10859,Sam LaPorta,TE,33.4,172.64557252054735,171.21750031531542,172.14574724871616,199.444,144.6,16,2023->2024,177.12610091032903,205.2141202124476
4037,Chris Godwin Jr.,WR,71.5,168.34076381711765,160.12465847422877,161.76787954280655,171.904,112.80000000000001,7,2023->2024,166.8692613291444,177.325026331538
4983,DJ Moore,WR,37.9,215.76601128983907,181.6104403513501,188.44155453904787,186.15,189.10000000000002,17,2023->2024,201.00899429594048,198.5646126711176
8143,Jerome Ford,RB,95.9,167.10204088339123,152.6711518892763,162.051229735451,192.797,115.5,14,2023->2024,153.7456052228158,182.91556008882716
2133,Davante Adams,WR,21.0,220.35460253053455,201.59609597425214,205.34779728550865,195.483,198.79999999999998,14,2023->2024,216.36893937360614,205.97469237404624
8146,Garrett Wilson,WR,13.3,185.1518840428996,217.05709326569402,210.67605142113516,213.01000000000002,201.4,17,2023->2024,221.98316417308442,224.4423772020871
7547,Amon-Ra St. Brown,WR,6.9,243.01145653554445,239.27051149937878,240.0187005066119,254.08200000000002,258.68,17,2023->2024,252.90065121196076,267.71873660513916
3294,Dak Prescott,QB,56.7,302.3528844817447,298.2211455249129,300.9067758468536,310.73959999999994,124.52,8,2023->2024,319.56077631854765,330.00316303762384
4866,Saquon Barkley,RB,9.5,221.29378734622918,229.82125295968532,226.41026671430285,231.43800000000002,338.8,16,2023->2024,227.35925311891353,232.40805987713196
5850,Josh Jacobs,RB,19.9,212.95536472127128,205.14712241702844,208.27041933872556,236.98000000000002,275.1,17,2023->2024,209.14337355278695,237.9732888708109
11628,Marvin Harrison Jr.,WR,16.1,,210.58998837618574,210.58998837618574,185.50400000000002,165.5,17,2023->2024,221.89248207178542,195.46011333034113
6786,CeeDee Lamb,WR,2.6,280.3070573820442,272.30786202691496,273.9077010979408,250.92,212.9,15,2023->2024,288.60849522736277,264.3870301279174
9481,Luke Musgrave,TE,151.1,84.5274728988234,110.65535497122175,100.2042021422624,87.85600000000002,8.0,7,2023->2024,105.0546533836542,92.10872828038406
8137,George Pickens,WR,54.7,163.58078901851636,169.1906695432674,168.0686934383172,170.323,134.9,14,2023->2024,173.3687726257492,175.69416918667713
9229,Anthony Richardson Sr.,QB,64.4,243.57063407827917,292.4483651741268,265.5656130714106,331.94880000000006,174.86,11,2023->2024,287.8018876457247,359.7434552493951
7600,Pat Freiermuth,TE,118.3,94.25891505486346,120.47434980668123,106.05586069318146,102.74799999999999,137.8,17,2023->2024,111.18956536981553,107.72158547342126
