season,week,game_id,team,player_id,pos
2025,1,2025_01_SF_SEA,SF,00-0039916,WR
2025,1,2025_01_TB_ATL,ATL,00-0034407,WR
2025,1,2025_01_TB_ATL,ATL,00-0034854,WR
2025,1,2025_01_TB_ATL,ATL,00-0035359,WR
2025,1,2025_01_TB_ATL,ATL,00-0036429,TE
2025,1,2025_01_TB_ATL,ATL,00-0036825,TE
2025,1,2025_01_TB_ATL,ATL,00-0036970,TE
2025,1,2025_01_TB_ATL,ATL,00-0037238,WR
2025,1,2025_01_TB_ATL,ATL,00-0037263,RB
2025,1,2025_01_TB_ATL,ATL,00-0037277,TE
2025,1,2025_01_TB_ATL,ATL,00-0038542,RB
2025,1,2025_01_TB_ATL,ATL,00-0039394,WR
2025,1,2025_01_TB_ATL,ATL,00-0039917,QB
2025,1,2025_01_TB_ATL,TB,00-0031408,WR
2025,1,2025_01_TB_ATL,TB,00-0032385,WR
2025,1,2025_01_TB_ATL,TB,00-0034855,QB
2025,1,2025_01_TB_ATL,TB,00-0037256,RB
2025,1,2025_01_TB_ATL,TB,00-0037311,TE
2025,1,2025_01_TB_ATL,TB,00-0038129,TE
2025,1,2025_01_TB_ATL,TB,00-0038824,WR
2025,1,2025_01_TB_ATL,TB,00-0038951,RB
2025,1,2025_01_TB_ATL,TB,00-0039050,TE
2025,1,2025_01_TB_ATL,TB,00-0039361,RB
2025,1,2025_01_TB_ATL,TB,00-0039589,WR
2025,1,2025_01_TB_ATL,TB,00-0040129,WR
2025,1,2025_01_TB_ATL,TB,00-0040237,WR
2025,1,2025_01_TEN_DEN,DEN,00-0033881,TE
2025,1,2025_01_TEN_DEN,DEN,00-0034348,WR
2025,1,2025_01_TEN_DEN,DEN,00-0034487,WR
2025,1,2025_01_TEN_DEN,DEN,00-0036158,RB
2025,1,2025_01_TEN_DEN,DEN,00-0036422,TE
2025,1,2025_01_TEN_DEN,DEN,00-0036727,RB
2025,1,2025_01_TEN_DEN,DEN,00-0037085,RB
2025,1,2025_01_TEN_DEN,DEN,00-0037539,TE
2025,1,2025_01_TEN_DEN,DEN,00-0038976,WR
2025,1,2025_01_TEN_DEN,DEN,00-0039732,QB
2025,1,2025_01_TEN_DEN,DEN,00-0039868,WR
2025,1,2025_01_TEN_DEN,DEN,00-0040134,WR
2025,1,2025_01_TEN_DEN,DEN,00-0040730,RB
2025,1,2025_01_TEN_DEN,TEN,00-0032211,WR
2025,1,2025_01_TEN_DEN,TEN,00-0034837,WR
2025,1,2025_01_TEN_DEN,TEN,00-0035261,RB
2025,1,2025_01_TEN_DEN,TEN,00-0036415,WR
2025,1,2025_01_TEN_DEN,TEN,00-0037594,RB
2025,1,2025_01_TEN_DEN,TEN,00-0037809,TE
2025,1,2025_01_TEN_DEN,TEN,00-0039648,TE
2025,1,2025_01_TEN_DEN,TEN,00-0039650,WR
2025,1,2025_01_TEN_DEN,TEN,00-0040170,WR
2025,1,2025_01_TEN_DEN,TEN,00-0040584,TE
2025,1,2025_01_TEN_DEN,TEN,00-0040676,QB
2025,1,2025_01_TEN_DEN,TEN,00-0040705,WR
2025,2,2025_02_ATL_MIN,ATL,00-0034407,WR
2025,2,2025_02_ATL_MIN,ATL,00-0034854,WR
2025,2,2025_02_ATL_MIN,ATL,00-0035359,WR
2025,2,2025_02_ATL_MIN,ATL,00-0036309,WR
2025,2,2025_02_ATL_MIN,ATL,00-0036429,TE
2025,2,2025_02_ATL_MIN,ATL,00-0036970,TE
2025,2,2025_02_ATL_MIN,ATL,00-0037238,WR
2025,2,2025_02_ATL_MIN,ATL,00-0037263,RB
2025,2,2025_02_ATL_MIN,ATL,00-0037277,TE
2025,2,2025_02_ATL_MIN,ATL,00-0038542,RB
2025,2,2025_02_ATL_MIN,ATL,00-0039917,QB
2025,2,2025_02_ATL_MIN,MIN,00-0030035,WR
2025,2,2025_02_ATL_MIN,MIN,00-0033293,RB
2025,2,2025_02_ATL_MIN,MIN,00-0035229,TE
2025,2,2025_02_ATL_MIN,MIN,00-0035249,TE
2025,2,2025_02_ATL_MIN,MIN,00-0036322,WR
2025,2,2025_02_ATL_MIN,MIN,00-0036497,WR
2025,2,2025_02_ATL_MIN,MIN,00-0037291,WR
2025,2,2025_02_ATL_MIN,MIN,00-0037525,RB
2025,2,2025_02_ATL_MIN,MIN,00-0039923,QB
2025,2,2025_02_ATL_MIN,MIN,00-0040509,TE
2025,2,2025_02_BUF_NYJ,BUF,00-0033869,QB
2025,2,2025_02_BUF_NYJ,BUF,00-0034857,QB
2025,2,2025_02_BUF_NYJ,BUF,00-0035537,RB
2025,2,2025_02_BUF_NYJ,BUF,00-0035689,TE
2025,2,2025_02_BUF_NYJ,BUF,00-0036187,RB
2025,2,2025_02_BUF_NYJ,BUF,00-0036980,WR
2025,2,2025_02_BUF_NYJ,BUF,00-0036988,WR
