team,posgrp,metric,n,value,league,var_play,k_eb,between_var
LV,RB,catch_rate,77,0.8181818181818182,0.7795584045584045,,269.6993396752406,0.0010484917179406582
LV,TE,ypt,79,6.860759493670886,7.402552926525529,75.07010710808179,477.88573528846166,0.002517228048063173
LV,TE,catch_rate,79,0.6835443037974683,0.7238480697384807,,3197.323600121806,0.00011932022655747202
LV,WR,ypt,289,8.055363321799309,7.8248111244935945,104.64970203767783,512.9979346061339,0.003362458988259805
LV,WR,catch_rate,289,0.6782006920415224,0.6188547027263769,,592.4406304935924,0.0010395778909722611
MIA,ALL,ypt,500,7.818,7.319899395173364,75.22733066132263,423.2498391543696,0.00391817122363068
MIA,ALL,catch_rate,500,0.742,0.6717168692736092,,320.9784577564491,0.0015226021030540439
MIA,OTHER,ypt,75,8.746666666666666,7.014322916666667,93.29981981981982,71.82482665639307,0.021704806539040153
MIA,OTHER,catch_rate,75,0.76,0.6796875,,111.42454609768586,0.004229448396432637
MIA,RB,ypt,90,6.622222222222222,5.776709401709402,50.50736579275907,155.33379421101966,0.01217468644255527
MIA,RB,catch_rate,90,0.8888888888888888,0.7795584045584045,,269.6993396752406,0.0010484917179406582
MIA,TE,ypt,110,7.5636363636363635,7.402552926525529,49.2390325271059,477.88573528846166,0.002517228048063173
MIA,TE,catch_rate,110,0.7454545454545455,0.7238480697384807,,3197.323600121806,0.00011932022655747202
MIA,WR,ypt,225,8.11111111111111,7.8248111244935945,91.75099206349212,512.9979346061339,0.003362458988259805
MIA,WR,catch_rate,225,0.6755555555555556,0.6188547027263769,,592.4406304935924,0.0010395778909722611
MIN,ALL,ypt,426,7.065727699530516,7.319899395173364,92.29214029273689,423.2498391543696,0.00391817122363068
MIN,ALL,catch_rate,426,0.6549295774647887,0.6717168692736092,,320.9784577564491,0.0015226021030540439
MIN,OTHER,ypt,35,5.828571428571428,7.014322916666667,63.734453781512606,71.82482665639307,0.021704806539040153
MIN,OTHER,catch_rate,35,0.6,0.6796875,,111.42454609768586,0.004229448396432637
MIN,RB,ypt,69,4.594202898550725,5.776709401709402,27.215260017050298,155.33379421101966,0.01217468644255527
