team,week,gsis_id,slot
CLE,7,00-0040704,QB1
CLE,7,00-0040784,RB1
CLE,7,00-0037267,RB2
CLE,7,00-0040782,WR2
CLE,7,00-0036407,WR1
CLE,7,00-0039379,WR3
CLE,7,00-0033885,TE1
CLE,11,00-0040704,QB1
CLE,11,00-0040162,RB2
CLE,11,00-0040784,RB1
CLE,11,00-0038979,WR2
CLE,11,00-0036407,WR1
CLE,11,00-0040782,WR3
CLE,11,00-0033885,TE1
CLE,13,00-0040668,QB1
CLE,13,00-0040784,RB1
CLE,13,00-0040162,RB2
CLE,13,00-0036407,WR1
CLE,13,00-0038979,WR2
CLE,13,00-0040782,WR3
CLE,13,00-0040663,TE1
CLE,14,00-0040668,QB1
