name,team,rush_att,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,fpts_page,snapshot,kind,url
Kimani Vidal,LAC,47.0,231.8,1.6,10.8,76.5,0.2,0.1,41.7,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Chris Rodriguez Jr.,WAS,0.0,235.0,2.0,7.0,51.0,0.0,0.0,40.6,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Dalvin Cook,DAL,49.3,229.6,1.6,8.4,60.8,0.3,0.0,40.3,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Trey Sermon,IND,52.8,254.5,1.4,7.9,54.5,0.2,0.1,39.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Eric Gray,NYG,39.5,206.5,1.4,10.8,73.4,0.5,0.1,39.6,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Isaac Guerendo,SF,39.2,226.5,1.9,6.5,52.9,0.1,0.1,39.6,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Ty Johnson,BUF,39.7,165.3,1.1,13.1,111.2,0.7,0.2,37.9,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Emanuel Wilson,GB,40.8,194.9,1.3,10.0,72.7,0.5,0.1,37.7,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Cam Akers,MIN,41.3,192.5,1.4,5.7,43.6,0.2,0.1,33.0,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Cordarrelle Patterson,PIT,36.0,155.5,1.1,10.4,79.0,0.3,0.1,32.0,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Pierre Strong Jr.,CLE,51.1,226.6,1.2,5.5,42.3,0.1,1.4,31.9,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Emari Demercado,ARI,34.2,149.1,1.1,13.4,88.4,0.4,0.4,31.7,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Evan Hull,IND,0.0,134.0,1.0,8.0,59.0,1.0,0.0,31.3,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Will Shipley,PHI,30.0,167.6,1.4,5.2,40.6,0.3,0.1,31.1,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Deuce Vaughn,DAL,40.0,148.0,1.2,9.1,68.5,0.2,0.4,29.3,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Isaiah Davis,NYJ,45.7,168.4,1.3,5.6,41.0,0.1,0.1,29.1,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Dylan Laube,LV,27.0,145.4,1.1,7.7,57.2,0.1,0.0,27.5,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Tyler Goodson,IND,25.1,130.9,0.9,7.5,54.4,0.4,0.1,25.7,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Jase McClellan,ATL,31.2,129.1,1.0,5.4,43.7,0.4,0.0,25.5,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Rasheen Ali,BAL,26.4,149.1,1.2,3.9,31.0,0.1,0.0,25.3,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Michael Carter,ARI,0.0,111.0,1.0,10.0,69.0,0.0,0.0,24.0,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
Kyle Juszczyk,SF,5.6,20.2,0.1,15.0,143.7,1.1,0.0,23.8,20241107060235,post-kickoff static,https://www.fantasypros.com/nfl/projections/rb.php?week=draft
